Δευτέρα,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
14:00-15:00,"Ανάλυση I (Φ)
2ο
Λουκά","Ηλεκτρονική
6ο
Συβρίδης","Σχεδίαση και Χρήση Βάσεων Δεδομένων (περιττοί ΑΜ)
4ο
Ρούσσου",,"Παράλληλοι Αλγόριθμοι
8ο - Μ128
Τζαφέρης", ,,"Τεχνολογία Λογισμικού
8ο
Σαΐδης","Μαθηματικά Πληροφορικής
6ο
Κολλιόπουλος", 
15:00-16:00,"Δομές Δεδομένων και Τεχνικές Προγραμματισμού (περιττοί ΑΜ)
2ο
Χατζηκοκολάκης","Εργαστήριο Ηλεκτρονικής
6ο
Νίκας","Δομές Δεδομένων και Τεχνικές Προγραμματισμού (άρτιοι ΑΜ)
2ο
Κουμπαράκης", ,"Προηγμένα Θέματα Αλγορίθμων
8ο
Φουρτουνέλλη", , ,"Τεχνολογία Λογισμικού
8ο
Σαΐδης", , 
16:00-17:00,"Δομές Δεδομένων και Τεχνικές Προγραμματισμού (περιττοί ΑΜ)
2ο
Χατζηκοκολάκης", ,"Δομές Δεδομένων και Τεχνικές Προγραμματισμού (άρτιοι ΑΜ)
2ο
Κουμπαράκης", ,"Προηγμένα Θέματα Αλγορίθμων
8ο
Φουρτουνέλλη",, ,, , 
17:00-18:00,"Αναγνώριση Προτύπων - Μηχανική Μάθηση
6ο - Μ811
Παναγάκης",, ,, ,,,, , 
18:00-19:00,"Αναγνώριση Προτύπων - Μηχανική Μάθηση
6ο - Μ811
Παναγάκης",,,, ,,,,, 
19:00-20:00,"Αναγνώριση Προτύπων - Μηχανική Μάθηση
6ο - Μ811
Παναγάκης",,,, , ,, ,, 
20:00-21:00, ,,, , , ,, ,, 
,,,,,,,,,,
,,,,,,,,,,
Πέμπτη,,,,,,,,,,
Ώρα/Αίθ.,Online,Online,Online,Online,Online,Online,Online,Online,Online,Online
 9:00-10:00,"Σχεδίαση και Χρήση Βάσεων Δεδομένων (άρτιοι ΑΜ)
4ο
Ιωαννίδης", ,"Θεωρία Υπολογισμού
6ο
Ροντογιάννης", , ,"Ειδικά Θέματα Αλγορίθμων
8ο
Αχλιόπτας", , ,"Ασύρματα Δίκτυα Αισθητήρων
6ο
Χατζηευθυμιάδης", 
10:00-11:00,"Σχεδίαση και Χρήση Βάσεων Δεδομένων (άρτιοι ΑΜ)
4ο
Ιωαννίδης", ,"Θεωρία Υπολογισμού
6ο
Ροντογιάννης", , ,"Ειδικά Θέματα Αλγορίθμων
8ο
Αχλιόπτας", , ,"Ασύρματα Δίκτυα Αισθητήρων
6ο
Χατζηευθυμιάδης", 
11:00-12:00,"Συστήματα Επικοινωνιών
4ο
Μαθιόπουλος","Τεχνικές Εξόρυξης Δεδομένων
6ο
Γουνόπουλος","Επεξεργασία Στοχαστικών Σημάτων
6ο
Αλεξανδρόπουλος", ," Μουσική Πληροφορική
8ο
Πολυχρονόπουλος",,"Ανάλυση/Σχεδίαση Συστημάτων Λογισμικού
6ο
Τσαλγατίδου", ,"Επιστημονικοί Υπολογισμοί
6ο
Τζαφέρης", 
12:00-13:00,"Συστήματα Επικοινωνιών
4ο
Μαθιόπουλος","Τεχνικές Εξόρυξης Δεδομένων
6ο
Γουνόπουλος","Επεξεργασία Στοχαστικών Σημάτων
6ο
Αλεξανδρόπουλος","Σημασιολογία Γλωσσών Προγραμματισμού
8ο - Μ145
Ροντογιάννης"," Μουσική Πληροφορική
8ο
Πολυχρονόπουλος",,"Ανάλυση/Σχεδίαση Συστημάτων Λογισμικού
6ο
Τσαλγατίδου", ,"Επιστημονικοί Υπολογισμοί
6ο
Τζαφέρης", 
13:00-14:00,"Δίκτυα Επικοινωνιών I
4ο
Σταυρακάκης, Βάιος", , ,"Σημασιολογία Γλωσσών Προγραμματισμού
8ο - Μ145
Ροντογιάννης"," Μουσική Πληροφορική
8ο
Πολυχρονόπουλος", , ,"Λογικός Προγραμματισμός
6ο
Σταματόπουλος, Καράλη","Θεωρία Πληροφορίας και Κωδίκων
6ο
Καλουπτσίδης, Παναγάκης", 
14:00-15:00,"Δίκτυα Επικοινωνιών I
4ο
Σταυρακάκης, Βάιος", , ,,"Πολυμέσα και Ασύρματη Δικτύωση
8ο
Μεράκος, Πασσάς, Μπαλαοιύρας", ,,"Λογικός Προγραμματισμός
6ο
Σταματόπουλος, Καράλη","Θεωρία Πληροφορίας και Κωδίκων
6ο
Καλουπτσίδης, Παναγάκης", 
15:00-16:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική
2ο
Βαρουτάς, Τσίπουρας", , ,,"Πολυμέσα και Ασύρματη Δικτύωση
8ο
Μεράκος, Πασσάς, Μπαλαοιύρας", ,, ,"Θεωρία Πληροφορίας και Κωδίκων
6ο
Καλουπτσίδης, Παναγάκης", 
